url,children,params,external_sites,error?
http://nataliehuggins.com,"{'about-1', 'epk', 'lessons', 'events', 'yoga', 'cart', 'store', 'yoga-classes-workshops', 'events-media', 'media', 'about', 'contact', 'events-1'}",[],"{'music.apple.com', 'open.spotify.com', 'facebook.com', 'instagram.com'}",False
http://fauxynaturalhaircare.com,"{'collections', 'search', 'cart', 'products'}",[],"{'instagram.com', 'shopify.com', 'facebook.com'}",False
http://winkeyless.kr,"{'cart', 'product', 'forums', 'checkout', 'my-account', 'product-category', 'wp-login.php', 'faq'}",[],"{'paypal.com', 'woocommerce.com'}",False
http://anna-goodman.com,"{'blogs', 'products', 'collections', 'cart', 'account', 'search', 'cdn', 'policies', 'pages'}",[],"{'linkedin.com', 'facebook.com', 'instagram.com'}",False
http://darrenbooth.com,"{'wearemuchthesame', 'lettering', 'googleportraits', 'info', 'newsletter', 'work', 'cart', 'illustration', 'anobjectofbeauty', 'portraits', 'surfacedesign'}",[],"{'threads.net', 'pinterest.com', 'linkedin.com', 'darrenbooth.com', 'tiktok.com', 'instagram.com'}",False
http://capstoneresumes.com,{'[post id=227]'},[],"{'findmyprofession.com', 'twitter.com', 'best10resumewriters.com', 'linkedin.com', 'parwcc.com', 'yelp.com', 'facebook.com', 'ideamktg.com', 'capstoneresumes.com'}",False
http://leathertreasureshop.com,"{'blogs', 'products', 'collections', 'cart', 'account', 'search', 'pages'}",[],"{'instagram.com', 'shopify.com', 'facebook.com'}",False
http://awakenintl.com,"{'fight-trafficking', 'privacy-policy', 'testimonials', 'home', 'statement-of-faith', 'cart', 'merch', 'terms-of-service', 'meet-algernon', 'donate', 'contact'}",[],{'michaelbhardie.com'},False
http://sinnstein.com,"{'collections', 'AGB', 'cart', 'account', 'pages'}",[],"{'instagram.com', 'youtube.com', 'gdpr-legal-cookie.myshopify.com', 'facebook.com'}",False
http://pricewhack.com,"{'blogs', 'products', 'collections', 'cart', 'account', 'checkout', 'apps', 'pages'}",[],"{'trustpilot.com', 'twitter.com', 'instagram.com', 'facebook.com'}",False
http://gummikoenig.de,"{'products', 'collections', 'cart', 'account', 'pages'}",[],"{'instagram.com', 'youtube.com', 'facebook.com'}",False
http://goslg.com,,,,object of type 'NoneType' has no len()
http://afragin.com,"{'products', 'collections', 'cart', 'account', 'search', 'policies', 'pages'}",[],"{'destillerie-reif.com', 'etivera.at', 'yoshien.com', 'sonnentor.com', 'azafran.de', 'instagram.com', 'de.wikipedia.org'}",False
http://www.rrproducts.com,"{'milwaukee-m12-compact-inflator-rmw2475-20.html', 'catalogsearch', 'milwaukee-m18-fuel-quik-lok-attachment-hanger-rmw49-16-2784.html', 'baffle-r105-7755-01.html', 'belt-bb-r126-7628.html', 'scraper-fits-r99-6241-roller-r104-0509-01.html', 'milwaukee-safety-glasses-tinted-fog-free-lenses-rmw48-73-2017.html', 'af', 'lift-arm-lh-r121-5993-01.html', 'spindle-assy-r121-3666.html', 'milwaukee-7-pc-magnetic-hollowcore-metric-nut-driver-set-rmw48-22-2517.html', 'milwaukee-m12-fuel-hackzall-recip-saw-tool-only-rmw2520-20.html', 'belt-pump-rzbb041-8000-00.html', 'milwaukee-m18-fuel-string-trimmer-w-quik-lok-rmw2825-21st.html', 'milwaukee-m18-cordless-2-speed-grease-gun-tool-only-rmw2646-20.html', 'milwaukee-m18-fuel-16in-chainsaw-tool-only-rmw2727-20.html', 'milwaukee-m18-fuel-17in-dual-battery-string-trimmer-rmw3006-20.html', 'tm.html', 'ep', 'gm', 'belt-deck-rzbb041-1650-00.html', 'milwaukee-blower-angled-flare-attachment-rmw49-16-2791.html', 'bearing-rzbb037-6023-00.html', 'belt-v-banded-wheel-drive-r110-5004.html', 'contactus', 'milwaukee-m12-fuel-hatchet-6in-pruning-saw-tool-only-rmw2527-20.html', 'milwaukee-m18-cordless-2-speed-grease-gun-kit-rmw2646-22ct.html', 'milwaukee-m18-fuel-quik-lok-blower-attachment-rmw49-16-2793.html', 'shaft-pivot-lh-r116-3104-01.html', 'ga', 'clamp-turf-guard-r110-4274-03.html', 'milwaukee-m18-fuel-17in-dual-battery-string-trimmer-kit-rmw3006-22.html', 'milwaukee-m18-fuel-telescoping-pole-saw-kit-rmw3013-21.html', 'pe.html', 'ss.html', 'rod-weldment-pusharm-rzs451240.html', 'milwaukee-m18-fuel-quik-lok-reciprocator-attachment-rmw49-16-2794.html', 'milwaukee-m12-cordless-lithium-ion-grease-gun-kit-rmw2446-21xc.html', 'ep.html', 'af.html', 'ir.html', 'ga.html', 'milwaukee-m12-fuel-hackzall-recip-saw-kit-rmw2520-21xc.html', 'baffle-assy-r127-4858-01.html', 'milwaukee-4-pc-hook-and-pick-set-rmw48-22-9215.html', 'lift-deck-narrow-r132-6872-03.html', 'corona-multi-purpose-mini-shovel-rcss25010.html', 'milwaukee-m18-fuel-sawzall-recip-saw-1-battery-xc5-0-kit-rmw2821-21.html', 'ir', 'milwaukee-jobsite-cooler-rmw48-22-8250.html', 'gm.html', 'lift-arm-rh-r121-5994-01.html', 'milwaukee-m18-fuel-sawzall-recip-saw-rmw2821-20.html', 'milwaukee-demolition-gloves-rmw48-22-8733.html', 'privacypolicy', 'checkout', 'milwaukee-9in-5-tpi-pruning-sawzall-blade-5-pk-rmw48-00-1301.html', 'lift-arm-assy-rh-r121-5999-01.html', 'customer', 'milwaukee-m18-fuel-dual-battery-backpack-blower-rmw3009-20.html', 'milwaukee-m12-cordless-lithium-ion-grease-gun-tool-only-rmw2446-20.html', 'tm', 'aboutus', 'milwaukee-m18-brushless-telescoping-pole-pruning-shears-rmw3008-20.html', 'shipping-terms', 'milwaukee-m18-cordless-2-speed-grease-gun-kit-rmw2646-21ct.html', 'shippingterms', 'clearance.html', 'castor-fork-r137-2546-01.html', 'milwaukee-shockwave-impact-duty-driver-bit-set-32pc-rmw48-32-4004.html', 'milwaukee-m18-fuel-dual-battery-backpack-blower-kit-rmw3009-24hd.html', 'el', 'control-speed-r119-8832.html', 'lh-lift-arm-assy-r121-5998-01.html', 'seal-kit-fits-r127-3694-hyd-motor-r114-5620.html', 'milwaukee-m18-18v-cordless-tire-inflator-rmw2848-20.html', 'control-lever-weldment-lh-rzs452717.html', 'control-lever-weldment-rh-rzs452718.html', 'cross-kit-r138-9049.html', 'milwaukee-m18-fuel-hackzall-tool-only-rmw2719-20.html', 'sitemap', 'termssale', 'termsuse', 'pivit-shaft-rh-r116-3105-01.html', 'rapidorder', 'returns', 'bearing-assembly-rzs481022.html', 'baffle-r105-7754-01.html', 'return-form', 'ss', 'corona-square-blade-shovel-48in-fiberglass-handle-rcss27020.html', 'milwaukee-bolt-white-vented-safety-helmet-usa-type-2-class-c-rmw48-73-1300.html', 'milwaukee-m18-fuel-14in-chainsaw-rmw2727-20c.html', 'pe', 'lift-deck-wide-r132-6878-03.html', 'milwaukee-m18-fuel-brush-cutter-rmw3015-20.html', 'milwaukee-m18-fuel-hackzall-kit-rmw2719-21.html', 'milwaukee-m18-brushless-telescoping-pole-pruning-shears-kit-rmw3008-21.html', 'milwaukee-7-pc-magnetic-hollowcore-sae-nut-driver-set-rmw48-22-2507.html', 'clearance', 'milwaukee-4pc-hose-pick-set-rmw48-22-9217.html', 'milwaukee-m18-fuel-telescoping-pole-saw-tool-only-rmw3013-20.html', 'el.html', 'brake-bellcrank-assy-r131-4056-03.html'}",[],"{'instagram.com', 'youtube.com', 'facebook.com', 'twitter.com'}",False
http://shopglean.com,"{'blogs', 'products', 'collections', 'cart', 'account', 'search', 'policies', 'pages'}",[],"{'instagram.com', 'tiktok.com', 'twitter.com', 'facebook.com'}",False
http://www.croydoncycleworks.com.au,"{'bike-fit', 'hire-3', 'workshop', 'blog', '0397235164'}",[],"{'instagram.com', 'twitter.com', 'croydoncycleworks.com.au', 'facebook.com'}",False
http://pacificcoastbiblechurch.com,"{'contact-locate', 'leadership', 'cart', 'giving', 'what-we-believe', 'sermons', 'about-us', 'becoming-a-believer'}",[],"{'villagemissions.org', 'facebook.com'}",False
http://oxygenfacialclinic.com,"{'category', 'treatments', 'share', 'contact-us', 'beauty-news', 'cart', 'shop', 'author', 'pin', 'sharer', 'product', 'gallery', 'blog', 'my-account', 'about-us', 'shareArticle', 'north-vancouver', 'healthy-living'}",[],"{'facebook.com', 'twitter.com', 'oxygenfacialclinic.janeapp.com', 'instagram.com', 'adaired.com', 'google.com'}",False
http://armstronghealthspecialists.com,"{'blogs', 'products', 'collections', 'cart', 'policies', 'pages'}",[],"{'instagram.com', 'youtube.com', 'cdn.shopify.com', 'facebook.com'}",False
http://tedxrexburg.com,,,,object of type 'NoneType' has no len()
http://wiserpiercing.com,,,,object of type 'NoneType' has no len()
http://poopieandpooper.com,,,,object of type 'NoneType' has no len()
http://thesimmeringbone.com,"{'why-broth', 'http', 'contact', 'cart'}",[],"{'squarespace.com', 'commoditiesnaturalmarket.com', 'lunableufarm.org', 'railyardapothecary.com', 'starkhollowfarm.com', 'instagram.com', 'fullmoonfarminc.com', 'healthylivingmarket.com', 'therootsfarmmarket.com', 'maplewindfarm.com', 'drive.google.com', 'farmerstoyou.com', 'wildharmonyfarm.com', 'localmaverickus.com', 'dreamwalkerfarmvt.com', 'thelyndonfreighthouse.com', 'norwichfarmcreamery.com', 'localharvest.org', 'facebook.com', 'crossfarm.com', 'chandlerpondfarm.com', 'madrivertaste.com'}",False
http://www.justintobin.com,"{'cart', 'portraits-1', 'portraits', 'blog', 'about', 'contact', 'cape-breton-wedding-photography'}",[],"{'facebook.com', 'instagram.com'}",False
http://blackstarproject.org,"{'covid19', 'resources', 'community-initiatives', 'mission-impact', 'programs', 'latest-news', 'take-action', 'cart', 'what-we-do1', 'special-events', 'parent-revolution-radio-show-1', 'who-we-are', 'donate', 'volunteer', 'our-sponsors', 'becomeapartner', 'staff', 'history', 'become-a-sponsor', 'become-a-member', 'our-founder-1', 'gallery', 'partnerships', '2021'}",[],"{'donatenow.networkforgood.org', 'images.squarespace-cdn.com', 'instagram.com', 'squarespace.com', 'facebook.com'}",False
http://globalmedicaldevices.co,"{'privacy-policy', 'manufacturer', 'home', 'brands', 'cart', 'shipping-details', 'refund-returns', 'product', 'freight-quote-form', 'categories', 'search', 'my-account', 'shop', 'product-category', 'contact'}",[],"{'instagram.com', 'linkedin.com', 'maps.app.goo.gl', 'facebook.com'}",False
http://www.acutaboveflorals.com,"{'blogs', 'collections', 'cart', 'account', 'search', 'pages'}",[],"{'instagram.com', 'pinterest', 'shopify.com', 'facebook.com'}",False
http://ikalgos.com,"{'pages', 'collections', 'cart', 'products'}",[],"{'tiktok.com', 'shopify.com', 'instagram.com'}",False
http://koashee.com,"{'products', 'collections', 'cart', 'account', 'search', 'pages'}",[],"{'instagram.com', 'facebook.com', 'koashee.com'}",False
http://3que.co.uk,"{'shipping', 'privacy-policy', 'contactus', 'cart', 'product', 'women', 'blog', 'my-account', 'about-us', 'terms-conditions', 'product-category', 'faq'}",[],"{'essentiallyexclusive.com', 'instagram.com', 'facebook.com'}",False
http://amapojeans.com.br,"{'politica-de-privacidade', 'sobre', 'termos-e-condicoes', 'assessoria-de-imprensa', 'perguntas-frequentes', 'contato', 'politica-de-compra-entrega-trocas-e-devolucoes'}",[],"{'collabs.com.br', 'twitter.com', 'facebook.com', 'amapojeans.com.br', 'instagram.com'}",False
http://venetianplasterartisans.co.uk,"{'blogs', 'products', 'collections', 'cart', 'account', 'policies', 'pages'}",[],{'instagram.com'},False
http://cassidy-rae.com,"{'shows', 'home', 'store', 'songs', 'about', 'contact'}",[],"{'hypeddit.com', 'facebook.com', 'twitter.com', 'linktr.ee', 'music.amazon.com.au', 'youtube.com', 'open.spotify.com', 'music.apple.com', 'tiktok.com', 'instagram.com', 'music.amazon.co.uk', 'countryhq.com.au'}",False
http://lion-spirits.de,"{'Absinthe', 'wishlist', 'aperitif', 'widgets', 'Neuheiten', 'martin-zufanek', 'account', 'gin', 'checkout', 'Likoer', 'search', 'distillerie-combier', 'bodega-rubio-luis-felipe', 'cookie'}",[],"{'absinthe.de', 'lion-spirits.de', 'facebook.com', 'wa.me', 'tiktok.com', 'instagram.com', 'policies.google.com'}",False
http://www.orchardvalleysupply.com,"{'products', 'collections', 'cart', 'account', 'policies', 'pages'}",[],"{'shopify.com', 'facebook.com', 'orchardvalley.zendesk.com', 'pinterest.com', 'instagram.com'}",False
http://luckyracket.com,"{'policies', 'pages', 'collections', 'cart'}",[],"{'shopify.com', 'twitter.com', 'pinterest.com', 'bellacanvas.com', 'instagram.com', 'printful.com', 'blog.bellacanvas.com', 'facebook.com'}",False
http://www.cutagenesis.com,"{'blogs', 'products', 'collections', 'cart', 'search', 'policies', 'pages'}",[],"{'pinterest.com', 'twitter.com', 'shopify.com', 'facebook.com'}",False
http://roundlakedesign.org,"{'collections', 'cart', 'account', 'search', 'pages'}",[],{'shopify.com'},False
http://www.publiclands.org,"{'blogs', 'products', 'collections', 'cart', 'account', 'pages'}",[],"{'instagram.com', 'youtube.com', 'publiclands.org', 'facebook.com'}",False
http://4mswim.org,"{'location', 'about-4msc', 'faqs', 'search', '50-year-anniversary-celebration', 'contact', 'events', 'fundraising-for-the-future', '4mstaff', 'about-2', 'cart', 'prerequisites', 'store', 'youth', 'pvk6-2023', 'stingers', 'aboutmastersswim', 'history4msr', 'pressandmedia', 'summer-2023-gallery', '4msc-swim-teams', 'donate-to-4msc', 'summer-2021-gallery', 'adult-classes', 'gallery', 'summer-2022-gallery', 'summer-2021'}",[],"{'4mswim.org', 'allenastaplesconsulting.com', 'teamunify.com', 'instagram.com'}",False
